DATE,USD,JPY(100),EUR,GBP,CNY,CNY_USD
2015-09-01,1183.0,975.91,1327.15,1816.14,185.5278840725174,6.3764
2015-09-02,1175.6,982.86,1328.13,1798.79,184.71207478984994,6.3645
2015-09-03,1178.0,977.92,1321.89,1803.16,185.33960572066897,6.3559
2015-09-04,1187.6,988.43,1320.55,1811.33,186.85001337340108,6.3559
2015-09-07,1191.0,1000.17,1327.85,1808.89,187.38494941707705,6.3559
2015-09-08,1202.0,1007.63,1342.57,1835.45,188.81854883048746,6.3659
2015-09-09,1203.1,1002.96,1348.74,1852.53,188.95275788415628,6.3672
2015-09-10,1192.0,990.07,1337.01,1831.21,186.89830349023174,6.3778
2015-09-11,1195.8,990.56,1349.7,1845.96,187.511760647306,6.3772
2015-09-14,1183.8,980.98,1342.67,1827.73,185.69411764705882,6.375
2015-09-15,1181.0,981.47,1335.53,1821.34,185.46145511079007,6.3679
2015-09-16,1182.4,982.14,1332.8,1814.39,185.62009419152278,6.37
2015-09-17,1179.4,978.23,1331.72,1827.72,185.12298105448212,6.3709
2015-09-18,1169.7,973.57,1335.1,1821.69,183.741753063148,6.366
2015-09-21,1166.7,972.37,1317.61,1810.84,183.3194538283865,6.3643
2015-09-22,1173.0,973.32,1312.18,1819.09,184.17044794397953,6.3691
2015-09-23,1177.2,980.75,1310.52,1807.24,184.62986198243414,6.376
2015-09-24,1187.5,987.28,1327.57,1810.23,186.02064633363096,6.3837
2015-09-25,1191.8,990.85,1332.31,1814.87,186.70593580123133,6.3833
2015-09-30,1194.5,996.79,1343.93,1810.38,187.708215475517,6.3636
2015-10-01,1190.4,992.58,1329.86,1800.42,187.25519497884258,6.3571
2015-10-02,1179.0,983.89,1319.6,1784.48,185.49402139710512,6.356
2015-10-05,1180.5,984.04,1323.93,1792.59,185.73001887979862,6.356
2015-10-06,1172.1,973.3,1311.58,1775.38,184.4084329767149,6.356
2015-10-07,1164.8,968.81,1312.85,1773.87,183.25991189427313,6.356
2015-10-08,1165.2,971.28,1309.74,1784.68,183.32284455632475,6.356
2015-10-12,1159.4,964.36,1317.37,1776.43,182.7207968227952,6.3452
2015-10-13,1147.4,955.93,1303.16,1760.34,181.46449470188202,6.323
2015-10-14,1147.5,958.09,1306.54,1750.28,180.9280544912729,6.3423
2015-10-15,1150.1,967.77,1319.74,1779.66,181.18373584132834,6.3477
2015-10-16,1133.7,953.21,1289.53,1754.17,178.64233714663897,6.3462
2015-10-19,1128.9,945.64,1281.87,1743.02,177.70956316410863,6.3525
2015-10-20,1125.3,941.44,1274.8,1740.05,176.93118032735333,6.3601
2015-10-21,1130.1,943.09,1282.95,1745.61,178.01335769642745,6.3484
2015-10-22,1131.3,943.65,1283.18,1744.24,178.17712188745213,6.3493
2015-10-23,1138.2,942.73,1263.23,1751.52,179.01855929537592,6.358
2015-10-26,1127.4,928.86,1242.56,1726.33,177.57127106630966,6.349
2015-10-27,1134.1,936.73,1253.69,1740.84,178.50846817351885,6.3532
2015-10-28,1131.2,939.38,1248.56,1731.47,178.05200528867343,6.3532
2015-10-29,1132.9,935.47,1237.86,1730.05,178.1513397911687,6.3592
2015-10-30,1142.3,944.09,1254.76,1749.78,179.70015888747307,6.3567
2015-11-02,1138.6,944.47,1255.65,1757.26,180.2124056282743,6.3181
2015-11-03,1140.1,944.3,1255.99,1757.81,179.90311331324065,6.3373
2015-11-04,1133.4,936.19,1242.6,1747.42,178.88257575757575,6.336
2015-11-05,1129.5,929.36,1227.48,1738.02,178.26985905711896,6.3359
2015-11-06,1137.1,934.19,1237.34,1729.47,179.18091426230282,6.3461
2015-11-09,1138.6,923.33,1220.69,1713.08,179.22241460727216,6.353
2015-11-10,1154.1,937.72,1241.18,1744.6,181.4023671429245,6.3621
2015-11-11,1158.2,940.06,1241.82,1751.31,182.05539312773115,6.3618
2015-11-12,1154.8,940.47,1242.62,1756.85,181.36130916857744,6.3674
2015-11-13,1154.5,941.57,1248.3,1758.36,181.26295296112542,6.3692
2015-11-16,1161.3,948.81,1244.91,1768.08,182.20186077160832,6.3737
2015-11-17,1172.7,951.52,1253.44,1782.8,184.06554598107078,6.3711
2015-11-18,1169.2,947.14,1244.55,1779.23,183.30041074844013,6.3786
2015-11-19,1173.4,949.7,1251.31,1787.38,183.77734968441166,6.3849
2015-11-20,1164.2,947.08,1249.48,1780.12,182.3907253642488,6.383
2015-11-23,1156.9,941.56,1230.88,1756.98,181.19028974158186,6.385
2015-11-24,1157.9,942.07,1231.14,1750.92,181.2276967382458,6.3892
2015-11-25,1155.6,943.23,1230.31,1743.34,180.85073085229584,6.3898
2015-11-26,1145.1,933.18,1216.33,1731.91,179.2243160333062,6.3892
2015-11-27,1145.7,934.39,1215.19,1730.29,179.3098051490727,6.3895
2015-11-30,1150.4,936.73,1218.33,1730.14,179.89335251528564,6.3949
2015-12-01,1157.7,939.88,1223.4,1743.15,180.9443428517841,6.3981
2015-12-02,1158.1,942.04,1230.25,1745.78,180.989888571116,6.3987
2015-12-03,1159.3,940.3,1229.79,1732.75,181.17742666479128,6.3987
2015-12-04,1167.4,951.66,1276.26,1767.56,182.48038265545378,6.3974
2015-12-07,1156.8,939.0,1258.37,1747.75,180.7217622246524,6.401
2015-12-08,1166.4,945.33,1263.56,1755.14,182.0167909865485,6.4082
2015-12-09,1176.0,956.99,1281.31,1765.23,183.25749548089507,6.4172
2015-12-10,1178.2,968.95,1298.14,1788.39,183.29184816428128,6.428
2015-12-11,1177.5,968.14,1288.77,1784.68,182.90409767311814,6.4378
2015-12-14,1179.7,974.39,1294.54,1792.26,182.74905891283132,6.4553
2015-12-15,1186.1,980.29,1304.71,1799.49,183.63808078775023,6.4589
2015-12-16,1182.9,972.46,1293.44,1779.02,183.08311406902956,6.461
2015-12-17,1178.2,962.54,1282.0,1765.06,182.00917615435714,6.4733
2015-12-18,1178.9,961.58,1276.87,1757.03,181.8251924055709,6.4837
2015-12-21,1184.3,976.18,1286.56,1766.15,182.7200493712875,6.4815
2015-12-22,1178.2,971.91,1285.71,1753.87,181.79854338970497,6.4808
2015-12-23,1176.1,971.62,1287.83,1743.57,181.53053034512564,6.4788
2015-12-24,1171.7,968.95,1278.15,1742.85,180.87931087714966,6.4778
2015-12-28,1171.0,974.05,1283.65,1747.54,180.8131186016707,6.4763
2015-12-29,1165.0,967.85,1278.18,1734.04,179.54566470425053,6.4886
2015-12-30,1167.7,968.97,1275.54,1730.3,180.07001094884882,6.4847
2015-12-31,1172.0,972.01,1280.53,1735.91,180.55491365099905,6.4911
2016-01-04,1172.0,974.19,1272.26,1726.59,177.84,
2016-01-05,1184.3,992.42,1282.36,1742.16,179.19,
2016-01-06,1187.7,997.15,1277.37,1743.78,178.97,
2016-01-07,1193.9,1007.72,1286.61,1746.56,179.05,
2016-01-08,1199.7,1020.54,1310.37,1754.62,179.04,
2016-01-11,1196.2,1023.49,1311.87,1737.6,179.13,
