날짜,EUR_KRW_환율
2015-09-07,1338.27001953125
2015-09-08,1341.800048828125
2015-09-09,1337.5799560546875
2015-09-10,1336.3699951171875
2015-09-11,1333.300048828125
2015-09-14,1339.25
2015-09-15,1335.6600341796875
2015-09-16,1327.31005859375
2015-09-17,1320.780029296875
2015-09-18,1328.3499755859375
2015-09-21,1324.4599609375
2015-09-22,1317.0999755859375
2015-09-23,1315.9300537109375
2015-09-24,1334.75
2015-09-25,1329.9100341796875
2015-09-28,1334.5
2015-09-29,1341.219970703125
2015-09-30,1344.780029296875
2015-10-01,1323.02001953125
2015-10-02,1317.969970703125
2015-10-05,1313.4300537109375
2015-10-06,1298.530029296875
2015-10-07,1306.9599609375
2015-10-08,1300.8199462890625
2015-10-09,1299.6600341796875
2015-10-12,1302.4200439453125
2015-10-13,1297.75
2015-10-14,1307.6199951171875
2015-10-15,1303.6700439453125
2015-10-16,1275.4000244140625
2015-10-19,1282.8499755859375
2015-10-20,1281.18994140625
2015-10-21,1283.06005859375
2015-10-22,1292.0999755859375
2015-10-23,1251.510009765625
2015-10-26,1250.31005859375
2015-10-27,1249.510009765625
2015-10-28,1251.9300537109375
2015-10-29,1250.010009765625
2015-10-30,1253.800048828125
2015-11-02,1254.75
2015-11-03,1252.800048828125
2015-11-04,1236.75
2015-11-05,1231.5699462890625
2015-11-06,1237.2099609375
2015-11-09,1236.6400146484375
2015-11-10,1245.760009765625
2015-11-11,1242.68994140625
2015-11-12,1242.5699462890625
2015-11-13,1251.949951171875
2015-11-16,1260.06005859375
2015-11-17,1247.8499755859375
2015-11-18,1244.199951171875
2015-11-19,1243.1700439453125
2015-11-20,1237.97998046875
2015-11-23,1203.550048828125
2015-11-24,1231.56005859375
2015-11-25,1219.25
2015-11-26,1214.8699951171875
2015-11-27,1216.68994140625
2015-11-30,1223.699951171875
2015-12-01,1225.010009765625
2015-12-02,1226.8800048828125
2015-12-03,1232.25
2015-12-04,1258.72998046875
2015-12-07,1265.3599853515625
2015-12-08,1272.6700439453125
2015-12-09,1284.3399658203125
2015-12-10,1300.4000244140625
2015-12-11,1289.1199951171875
2015-12-14,1267.876953125
2015-12-15,1301.8900146484375
2015-12-16,1283.0799560546875
2015-12-17,1272.75
2015-12-18,1283.1600341796875
2015-12-21,1283.449951171875
2015-12-22,1281.3699951171875
2015-12-23,1280.75
2015-12-24,1279.0400390625
2015-12-25,1248.7708740234375
2015-12-28,1248.7708740234375
2015-12-29,1280.5899658203125
2015-12-30,1278.25
2015-12-31,1285.6199951171875
2016-01-01,1251.4864501953125
2016-01-04,1251.4864501953125
2016-01-05,1286.4200439453125
2016-01-06,1278.760009765625
2016-01-07,1292.4200439453125
2016-01-08,1306.6500244140625
2016-01-11,1275.112060546875
2016-01-12,1306.7900390625
2016-01-13,1310.9599609375
2016-01-14,1318.1500244140625
2016-01-15,1310.5
2016-01-18,1294.7113037109375
2016-01-19,1317.77001953125
2016-01-20,1315.72998046875
2016-01-21,1313.6199951171875
2016-01-22,1306.31005859375
2016-01-25,1291.760009765625
2016-01-26,1299.5699462890625
2016-01-27,1300.7900390625
2016-01-28,1316.5699462890625
2016-01-29,1318.7900390625
2016-02-01,1275.489990234375
2016-02-02,1309.6700439453125
2016-02-03,1323.52001953125
