Date,USD,CNY,JPY(100),EUR,GBP
2015-01-02,"1,099.20",177.84,917.3,"1,330.20","1,712.44"
2015-01-05,"1,102.60",177.84,914.98,"1,316.95","1,684.77"
2015-01-06,"1,108.70",177.84,928.79,"1,323.01","1,690.99"
2015-01-07,"1,103.90",177.84,931.25,"1,311.21","1,671.75"
2015-01-08,"1,099.70",177.84,921.83,"1,301.28","1,661.21"
2015-01-09,"1,098.50",177.84,917.1,"1,294.91","1,656.37"
2015-01-12,"1,092.20",177.84,923.32,"1,295.40","1,658.29"
2015-01-13,"1,083.00",177.84,914.81,"1,281.13","1,642.80"
2015-01-14,"1,081.50",177.84,917.96,"1,273.68","1,640.09"
2015-01-15,"1,079.90",177.84,920.87,"1,273.09","1,645.34"
2015-01-16,"1,084.10",177.84,931.28,"1,261.24","1,646.69"
2015-01-19,"1,077.30",177.84,916.89,"1,245.79","1,630.71"
2015-01-20,"1,079.80",177.84,917.11,"1,253.00","1,630.61"
2015-01-21,"1,084.40",177.84,913.83,"1,253.13","1,642.65"
2015-01-22,"1,086.80",177.84,921.37,"1,261.67","1,645.42"
2015-01-23,"1,085.30",177.84,914.59,"1,233.50","1,629.47"
2015-01-26,"1,084.10",177.84,921.62,"1,208.07","1,627.83"
2015-01-27,"1,079.30",177.84,911.26,"1,212.70","1,628.02"
2015-01-28,"1,082.10",177.84,918.94,"1,230.46","1,643.06"
2015-01-29,"1,082.90",177.84,922.05,"1,221.51","1,639.84"
2015-01-30,"1,090.80",177.84,921.36,"1,235.66","1,644.49"
2015-02-02,"1,095.90",177.84,935.83,"1,239.24","1,652.56"
2015-02-03,"1,101.20",177.84,936.2,"1,249.04","1,655.43"
2015-02-04,"1,098.30",177.84,934.37,"1,259.53","1,664.80"
2015-02-05,"1,089.20",177.84,928.92,"1,234.28","1,653.84"
2015-02-06,"1,089.20",177.84,926.94,"1,249.53","1,669.96"
2015-02-09,"1,088.30",177.84,914.15,"1,231.03","1,657.92"
2015-02-10,"1,097.00",177.84,924.72,"1,242.46","1,669.41"
2015-02-11,"1,090.80",177.84,913.3,"1,234.79","1,664.67"
2015-02-12,"1,096.90",177.84,911.92,"1,242.18","1,671.73"
2015-02-13,"1,107.50",177.84,929.77,"1,263.16","1,704.11"
2015-02-16,"1,098.40",177.84,925.59,"1,251.68","1,692.20"
2015-02-17,"1,098.70",177.84,927.6,"1,246.48","1,687.49"
2015-02-23,"1,101.30",177.84,925,"1,253.17","1,694.90"
2015-02-24,"1,109.80",177.84,933.74,"1,258.07","1,715.31"
2015-02-25,"1,108.60",177.84,931.83,"1,256.93","1,712.68"
2015-02-26,"1,102.50",177.84,927.64,"1,252.94","1,712.18"
2015-02-27,"1,099.20",177.84,920.72,"1,230.66","1,694.09"
2015-03-02,"1,099.50",177.84,918.43,"1,229.30","1,696.20"
2015-03-03,"1,102.50",177.84,917.34,"1,232.87","1,693.44"
2015-03-04,"1,100.00",177.84,919.04,"1,229.91","1,689.71"
2015-03-05,"1,096.50",177.84,916.19,"1,215.14","1,674.03"
2015-03-06,"1,100.10",177.84,915.95,"1,213.63","1,677.65"
2015-03-09,"1,099.50",177.84,910.71,"1,192.02","1,655.90"
2015-03-10,"1,110.30",177.84,914.81,"1,204.12","1,678.00"
2015-03-11,"1,119.50",177.84,924.71,"1,197.53","1,687.20"
2015-03-12,"1,126.60",177.84,927.74,"1,188.51","1,682.13"
2015-03-13,"1,130.90",177.84,931.97,"1,201.64","1,684.02"
2015-03-16,"1,125.60",177.84,927.6,"1,181.65","1,660.26"
2015-03-17,"1,133.90",177.84,934.14,"1,198.59","1,681.06"
2015-03-18,"1,130.10",177.84,931.31,"1,197.17","1,666.33"
2015-03-19,"1,126.60",177.84,937.04,"1,220.45","1,683.59"
2015-03-20,"1,114.00",177.84,922.15,"1,187.91","1,644.15"
2015-03-23,"1,121.70",177.84,934.44,"1,215.53","1,678.18"
2015-03-24,"1,115.90",177.84,932.99,"1,223.14","1,670.39"
2015-03-25,"1,107.10",177.84,924.47,"1,208.46","1,643.60"
2015-03-26,"1,102.70",177.84,922.95,"1,209.39","1,641.26"
2015-03-27,"1,104.20",177.84,926.3,"1,201.42","1,639.96"
2015-03-30,"1,104.30",177.84,926.23,"1,202.25","1,645.19"
2015-03-31,"1,105.00",177.84,920.26,"1,196.77","1,636.28"
2015-04-01,"1,109.40",177.84,924.38,"1,191.44","1,645.02"
2015-04-02,"1,103.80",177.84,922.41,"1,188.41","1,636.49"
2015-04-03,"1,098.00",177.84,917.03,"1,194.08","1,628.55"
2015-04-06,"1,094.60",177.84,920.57,"1,204.99","1,633.69"
2015-04-07,"1,086.00",177.84,908.79,"1,187.27","1,617.22"
2015-04-08,"1,089.70",177.84,905.93,"1,179.44","1,614.72"
2015-04-09,"1,093.40",177.84,910.26,"1,179.12","1,626.76"
2015-04-10,"1,093.90",177.84,907.46,"1,166.48","1,609.51"
2015-04-13,"1,094.60",177.84,910.54,"1,161.97","1,602.60"
2015-04-14,"1,096.60",177.84,913.19,"1,159.65","1,608.82"
2015-04-15,"1,096.80",177.84,918.63,"1,168.20","1,620.52"
2015-04-16,"1,096.00",177.84,919.66,"1,169.87","1,624.66"
2015-04-17,"1,089.00",177.84,915.01,"1,172.80","1,626.42"
2015-04-20,"1,085.10",177.84,912.19,"1,171.15","1,622.44"
2015-04-21,"1,082.70",177.84,907.66,"1,162.66","1,613.22"
2015-04-22,"1,083.50",177.84,905.52,"1,163.41","1,617.56"
2015-04-23,"1,081.80",177.84,901.61,"1,159.96","1,626.76"
2015-04-24,"1,083.20",177.84,905.8,"1,171.81","1,630.54"
2015-04-27,"1,079.00",177.84,907.6,"1,172.23","1,637.27"
2015-04-28,"1,074.50",177.84,902.22,"1,169.00","1,636.25"
2015-04-29,"1,070.90",177.84,901.09,"1,175.10","1,642.23"
2015-04-30,"1,068.10",177.84,897.22,"1,187.03","1,647.65"
2015-05-04,"1,069.50",177.84,889.99,"1,196.93","1,621.26"
2015-05-06,"1,080.50",177.84,900.87,"1,207.94","1,639.12"
2015-05-07,"1,081.00",177.84,905.32,"1,226.56","1,647.77"
2015-05-08,"1,086.60",177.84,907.58,"1,221.72","1,672.17"
2015-05-11,"1,091.30",177.84,910.67,"1,221.76","1,684.75"
2015-05-12,"1,089.90",177.84,907.3,"1,215.08","1,697.96"
2015-05-13,"1,096.20",177.84,914.38,"1,229.55","1,717.69"
2015-05-14,"1,094.90",177.84,918.85,"1,242.93","1,723.59"
2015-05-15,"1,093.60",177.84,917.53,"1,247.09","1,725.04"
2015-05-18,"1,089.20",177.84,912.23,"1,246.43","1,714.62"
2015-05-19,"1,085.50",177.84,904.96,"1,228.62","1,699.68"
2015-05-20,"1,090.90",177.84,904,"1,216.19","1,692.20"
2015-05-21,"1,095.20",177.84,903.37,"1,215.07","1,701.83"
2015-05-22,"1,094.40",177.84,904.13,"1,215.66","1,713.72"
2015-05-26,"1,090.80",177.84,897.41,"1,197.64","1,687.90"
2015-05-27,"1,098.40",177.84,892.97,"1,195.39","1,690.77"
2015-05-28,"1,107.00",177.84,894.73,"1,207.02","1,699.47"
2015-05-29,"1,108.00",177.84,894.63,"1,215.20","1,697.51"
2015-06-01,"1,107.60",177.84,892.04,"1,214.54","1,693.30"
2015-06-02,"1,111.60",177.84,890.53,"1,214.59","1,689.63"
2015-06-03,"1,114.50",177.84,898.39,"1,242.83","1,709.87"
2015-06-04,"1,106.00",177.84,889.53,"1,246.41","1,695.28"
2015-06-05,"1,109.90",177.84,891.95,"1,241.42","1,704.47"
2015-06-08,"1,112.10",177.84,885.11,"1,235.38","1,697.90"
2015-06-09,"1,121.50",177.84,900.12,"1,265.11","1,720.49"
2015-06-10,"1,119.30",177.84,899.9,"1,262.57","1,721.76"
2015-06-11,"1,117.30",177.84,909.74,"1,264.62","1,732.09"
2015-06-12,"1,110.40",177.84,899.11,"1,248.70","1,722.45"
2015-06-15,"1,111.90",177.84,901.53,"1,247.77","1,730.01"
2015-06-16,"1,116.20",177.84,904.5,"1,259.02","1,741.16"
2015-06-17,"1,117.30",177.84,905.54,"1,256.46","1,748.18"
2015-06-18,"1,117.60",177.84,905.12,"1,267.64","1,769.50"
2015-06-19,"1,109.90",177.84,902.61,"1,262.07","1,762.30"
2015-06-22,"1,104.00",177.84,899.5,"1,254.59","1,753.04"
2015-06-23,"1,099.90",177.84,891.51,"1,247.78","1,741.09"
2015-06-24,"1,104.10",177.84,891.12,"1,233.61","1,736.97"
2015-06-25,"1,108.40",177.84,894.88,"1,241.74","1,741.02"
2015-06-26,"1,109.60",177.84,897.99,"1,243.36","1,747.51"
2015-06-29,"1,115.10",177.84,909.43,"1,226.50","1,752.49"
2015-06-30,"1,124.10",177.84,917.15,"1,260.51","1,768.15"
2015-07-01,"1,118.30",177.84,913.61,"1,244.84","1,754.72"
2015-07-02,"1,118.50",177.84,907.62,"1,235.44","1,745.98"
2015-07-03,"1,123.20",177.84,912.69,"1,245.35","1,753.09"
2015-07-06,"1,120.10",177.84,915.9,"1,235.92","1,744.00"
2015-07-07,"1,126.30",177.84,918.68,"1,245.12","1,757.59"
2015-07-08,"1,129.60",177.84,921.86,"1,243.18","1,746.36"
2015-07-09,"1,135.70",177.84,940.81,"1,257.90","1,745.57"
2015-07-10,"1,136.20",177.84,933.57,"1,256.52","1,746.74"
2015-07-13,"1,130.00",177.84,922.04,"1,258.20","1,752.35"
2015-07-14,"1,131.50",177.84,915.86,"1,245.39","1,752.75"
2015-07-15,"1,139.40",177.84,923.68,"1,254.76","1,781.45"
2015-07-16,"1,141.50",177.84,921.12,"1,250.57","1,785.08"
2015-07-17,"1,148.40",177.84,925.05,"1,249.06","1,792.14"
2015-07-20,"1,146.30",177.84,923.65,"1,242.30","1,788.92"
2015-07-21,"1,151.90",177.84,926.82,"1,247.80","1,793.22"
2015-07-22,"1,158.40",177.84,935.29,"1,267.00","1,802.06"
2015-07-23,"1,152.60",177.84,929.63,"1,259.45","1,799.78"
2015-07-24,"1,162.30",177.84,938.21,"1,276.96","1,803.54"
2015-07-27,"1,164.60",177.84,940.75,"1,278.09","1,807.69"
2015-07-28,"1,168.90",177.84,948.01,"1,295.90","1,818.87"
2015-07-29,"1,166.20",177.84,943.68,"1,290.17","1,820.44"
2015-07-30,"1,157.90",177.84,934.32,"1,272.18","1,807.08"
2015-07-31,"1,166.30",177.84,939.28,"1,275.41","1,819.31"
2015-08-03,"1,169.40",177.84,943.37,"1,283.36","1,827.77"
2015-08-04,"1,165.20",177.84,939.83,"1,276.19","1,816.31"
2015-08-05,"1,169.30",177.84,940.67,"1,273.48","1,820.31"
2015-08-06,"1,172.10",177.84,939.33,"1,278.00","1,829.06"
2015-08-07,"1,170.20",177.84,938.41,"1,278.62","1,815.33"
2015-08-10,"1,164.30",177.84,936.76,"1,276.54","1,804.14"
2015-08-11,"1,165.30",177.84,935.65,"1,283.75","1,816.12"
2015-08-12,"1,170.40",177.84,935.8,"1,292.59","1,823.78"
2015-08-13,"1,190.30",177.84,958.34,"1,327.90","1,858.42"
2015-08-17,"1,174.20",177.84,944.57,"1,302.89","1,837.62"
2015-08-18,"1,182.20",177.84,950.05,"1,309.35","1,842.10"
2015-08-19,"1,184.70",177.84,952.45,"1,306.61","1,855.06"
2015-08-20,"1,185.10",177.84,956.5,"1,317.71","1,858.36"
2015-08-21,"1,185.10",177.84,959.83,"1,330.69","1,859.07"
2015-08-24,"1,192.00",177.84,982.24,"1,357.99","1,869.29"
2015-08-25,"1,198.10",177.84,"1,011.05","1,389.56","1,887.73"
2015-08-26,"1,194.60",177.84,"1,004.33","1,376.36","1,874.81"
2015-08-27,"1,188.90",177.84,988.57,"1,347.74","1,839.82"
2015-08-28,"1,184.30",177.84,978.15,"1,331.69","1,824.95"
2015-08-31,"1,176.30",177.84,970.06,"1,317.28","1,812.91"
2015-09-01,"1,183.00",177.84,975.91,"1,327.15","1,816.14"
2015-09-02,"1,175.60",177.84,982.86,"1,328.13","1,798.79"
2015-09-03,"1,178.00",177.84,977.92,"1,321.89","1,803.16"
2015-09-04,"1,187.60",177.84,988.43,"1,320.55","1,811.33"
2015-09-07,"1,191.00",177.84,"1,000.17","1,327.85","1,808.89"
2015-09-08,"1,202.00",177.84,"1,007.63","1,342.57","1,835.45"
2015-09-09,"1,203.10",177.84,"1,002.96","1,348.74","1,852.53"
2015-09-10,"1,192.00",177.84,990.07,"1,337.01","1,831.21"
2015-09-11,"1,195.80",177.84,990.56,"1,349.70","1,845.96"
2015-09-14,"1,183.80",177.84,980.98,"1,342.67","1,827.73"
2015-09-15,"1,181.00",177.84,981.47,"1,335.53","1,821.34"
